Kenya Drug Retention No,Kenya Drug in SBD Version ,Kenya Drug in SCD or PSN Version ,Corresponding RXCUI,,,,,,,
980,Diane-35 Oral Tablet ,cyproterone acetate 2 MG / ethinyl estradiol 0.035 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI980','Diane-35 Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB980','Diane-35 Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG980','cyproterone acetate 2 MG / ethinyl estradiol 0.035 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE980','No Corresponding SCD RXCUI')"
11982,Emcon-1 ( Levonorgestrel 1.5 MG) Oral Tablet,levonorgestrel 1.5 MG Oral Tablet ,PSN-483325,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11982','Emcon-1 ( Levonorgestrel 1.5 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11982','Emcon-1 ( Levonorgestrel 1.5 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11982','levonorgestrel 1.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11982','PSN-483325')"
12091,Levo-72 One Step ( Levonorgestrel 1.5 MG) Oral Tablet ,levonorgestrel 1.5 MG Oral Tablet ,PSN-483325,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI12091','Levo-72 One Step ( Levonorgestrel 1.5 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB12091','Levo-72 One Step ( Levonorgestrel 1.5 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG12091','levonorgestrel 1.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE12091','PSN-483325')"
1238,Emcon ( Levonorgestrel 0.75 MG) Oral Tablet,levonorgestrel 0.75 MG Oral Tablet ,SCD-259218,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1238','Emcon ( Levonorgestrel 0.75 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1238','Emcon ( Levonorgestrel 0.75 MG) Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1238','SCD-259218')"
2038,Ecee-2 ( Levonorgestrel 0.75 MG) Oral Tablet,levonorgestrel 0.75 MG Oral Tablet ,SCD-259218,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2038','Ecee-2 ( Levonorgestrel 0.75 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2038','Ecee-2 ( Levonorgestrel 0.75 MG) Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2038','SCD-259218')"
3780,Postinor-2 ( Levonorgestrel 0.75 MG) Oral Tablet,levonorgestrel 0.75 MG Oral Tablet ,SCD-259218,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3780','Postinor-2 ( Levonorgestrel 0.75 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3780','Postinor-2 ( Levonorgestrel 0.75 MG) Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3780','SCD-259218')"
9030,Revoke-72 ( levonorgestrel 0.75 MG) Oral Tablet,levonorgestrel 0.75 MG Oral Tablet ,SCD-259218,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI9030','Revoke-72 ( levonorgestrel 0.75 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB9030','Revoke-72 ( levonorgestrel 0.75 MG) Oral Tablet','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE9030','SCD-259218')"
1034,Mirena 52 MG Intrauterine Delivery System,levonorgestrel 52 MG 5 Year Intrauterine Delivery System,PSN-804156,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1034','Mirena 52 MG Intrauterine Delivery System',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1034','Mirena 52 MG Intrauterine Delivery System','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1034','levonorgestrel 52 MG 5 Year Intrauterine Delivery System','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1034','PSN-804156')"
1025,Jadelle Sine Inserter 75 MG Subdermal Implant,{ 2 (levonorgestrel 75 MG Subdermal Implant) },No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1025','Jadelle Sine Inserter 75 MG Subdermal Implant',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1025','Jadelle Sine Inserter 75 MG Subdermal Implant','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1025','{ 2 (levonorgestrel 75 MG Subdermal Implant) }','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1025','No Corresponding SCD RXCUI')"
8141,Haloperidol 5 MG Oral Tablet ,haloperidol 5 MG Oral Tablet ,PSN-310672,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI8141','Haloperidol 5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB8141','Haloperidol 5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG8141','haloperidol 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE8141','PSN-310672')"
7864,Imodium 2 MG Oral Capsule ,loperamide hydrochloride 2 MG Oral Capsule ,PSN-978006,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7864','Imodium 2 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7864','Imodium 2 MG Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7864','loperamide hydrochloride 2 MG Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7864','PSN-978006')"
13237,Dissenten 2 MG Oral Tablet ,loperamide hydrochloride 2 MG Oral Tablet,PSN-978010,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13237','Dissenten 2 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13237','Dissenten 2 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG13237','loperamide hydrochloride 2 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13237','PSN-978010')"
15954,Loflatil  2 MG / 125 MG Oral Tablet ,loperamide hydrochloride 2 MG / simethicone 125 MG Oral Tablet,PSN-978001,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15954','Loflatil 2 MG / 125 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15954','Loflatil 2 MG / 125 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG15954','loperamide hydrochloride 2 MG / simethicone 125 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15954','PSN-978001')"
11375,Flomax 0.4 MG Sustained Release Oral Capsule ,tamsulosin HCL  0.4 MG Sustained Release Oral Capsule,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11375','Flomax 0.4 MG Sustained Release Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11375','Flomax 0.4 MG Sustained Release Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11375','tamsulosin HCL 0.4 MG Sustained Release Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11375','No Corresponding SCD RXCUI')"
9301,Duodart 0.5 MG / 0.4 MG Oral Capsule ,dutasteride 0.5 MG / tamsulosin HCL  0.4 MG Oral Capsule,PSN-996097,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI9301','Duodart 0.5 MG / 0.4 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB9301','Duodart 0.5 MG / 0.4 MG Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG9301','dutasteride 0.5 MG / tamsulosin HCL 0.4 MG Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE9301','PSN-996097')"
2142,Benzosed 1 MG/ML Injection ,midazolam 1 MG/ML Injection ,PSN-311700,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2142','Benzosed 1 MG/ML Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2142','Benzosed 1 MG/ML Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2142','midazolam 1 MG/ML Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2142','PSN-311700')"
11426,Dormicum 15 MG in 3 ML Injection ,midazolam 15 MG in 3 ML Injection,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11426','Dormicum 15 MG in 3 ML Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11426','Dormicum 15 MG in 3 ML Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11426','midazolam 15 MG in 3 ML Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11426','No Corresponding SCD RXCUI')"
3692,Zofran 2 MG/ML Injection ,ondansetron 2 MG/ML Injection ,PSN-283504,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3692','Zofran 2 MG/ML Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3692','Zofran 2 MG/ML Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3692','ondansetron 2 MG/ML Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3692','PSN-283504')"
5006,Emitino 4 MG in 2 ML Injection ,ondansetron 4 MG in 2 ML Injection,PSN-1740467,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5006','Emitino 4 MG in 2 ML Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5006','Emitino 4 MG in 2 ML Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5006','ondansetron 4 MG in 2 ML Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5006','PSN-1740467')"
5517,Zyrtec 10 MG Oral Tablet ,cetirizine HCL  10 MG Oral Tablet,PSN-1014678,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5517','Zyrtec 10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5517','Zyrtec 10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5517','cetirizine HCL 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5517','PSN-1014678')"
5873,Copazine 10 MG Oral Tablet ,cetirizine HCL  10 MG Oral Tablet,PSN-1014678,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5873','Copazine 10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5873','Copazine 10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5873','cetirizine HCL 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5873','PSN-1014678')"
742,Codimex-CT 10 MG Oral Tablet ,cetirizine dihydrochloride 10 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI742','Codimex-CT 10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB742','Codimex-CT 10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG742','cetirizine dihydrochloride 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE742','No Corresponding SCD RXCUI')"
5516,Zyrtec 5 MG in 5 ML Syrup,cetirizine HCL  5 MG in 5 ML Oral solution,PSN-1014673,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5516','Zyrtec 5 MG in 5 ML Syrup',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5516','Zyrtec 5 MG in 5 ML Syrup','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5516','cetirizine HCL 5 MG in 5 ML Oral solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5516','PSN-1014673')"
2283,Atrizin 5 MG in 5 ML Syrup,cetirizine HCL  5 MG in 5 ML Oral solution,PSN-1014673,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2283','Atrizin 5 MG in 5 ML Syrup',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2283','Atrizin 5 MG in 5 ML Syrup','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2283','cetirizine HCL 5 MG in 5 ML Oral solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2283','PSN-1014673')"
3356,Tamsolin 0.4 MG Oral Capsule ,tamsulosin HCL  0.4 MG Oral Capsule,PSN-863669,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3356','Tamsolin 0.4 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3356','Tamsolin 0.4 MG Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3356','tamsulosin HCL 0.4 MG Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3356','PSN-863669')"
7002,Finosin 5 MG / 0.4 MG Oral Tablet ,finasteride 5 MG / tamsulosin HCL  0.4 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7002','Finosin 5 MG / 0.4 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7002','Finosin 5 MG / 0.4 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7002','finasteride 5 MG / tamsulosin HCL 0.4 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7002','No Corresponding SCD RXCUI')"
15203,D-Tam 0.5 MG / 0.4 MG Oral Tablet ,dutasteride 0.5 MG / tamsulosin HCL  0.4 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15203','D-Tam 0.5 MG / 0.4 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15203','D-Tam 0.5 MG / 0.4 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG15203','dutasteride 0.5 MG / tamsulosin HCL 0.4 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15203','No Corresponding SCD RXCUI')"
7129,Dormicum 15 MG Oral Tablet ,midazolam 15 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7129','Dormicum 15 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7129','Dormicum 15 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7129','midazolam 15 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7129','No Corresponding SCD RXCUI')"
5400,Prosfin 5 MG Oral Tablet ,finasteride 5 MG Oral Tablet ,PSN-310346,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5400','Prosfin 5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5400','Prosfin 5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5400','finasteride 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5400','PSN-310346')"
2763,Avodart 0.5 MG Oral Capsule ,dutasteride 0.5 MG Oral Capsule ,PSN-351172,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2763','Avodart 0.5 MG Oral Capsule',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2763','Avodart 0.5 MG Oral Capsule','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2763','dutasteride 0.5 MG Oral Capsule','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2763','PSN-351172')"
4408,Finfive 5 MG Oral Tablet ,finasteride 5 MG Oral Tablet ,PSN-310346,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4408','Finfive 5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4408','Finfive 5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4408','finasteride 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4408','PSN-310346')"
6881,Atromed 1 MG in 1 ML Injection,atropine sulfate 1 MG in 1 ML Injection,PSN-1190795,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI6881','Atromed 1 MG in 1 ML Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB6881','Atromed 1 MG in 1 ML Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG6881','atropine sulfate 1 MG in 1 ML Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE6881','PSN-1190795')"
5956,Atrop 1 % Ophthalmic Solution ,atropine sulfate 1 % Ophthalmic Solution,PSN-1190655,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5956','Atrop 1 % Ophthalmic Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5956','Atrop 1 % Ophthalmic Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5956','atropine sulfate 1 % Ophthalmic Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5956','PSN-1190655')"
14808,Atrovit-H  1 MG in 1 ML Injection,atropine sulfate 1 MG in 1 ML Injection,PSN-1190795,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14808','Atrovit-H 1 MG in 1 ML Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14808','Atrovit-H 1 MG in 1 ML Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG14808','atropine sulfate 1 MG in 1 ML Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14808','PSN-1190795')"
3090,Atropine Sulfate 0.6 MG in 1 ML Injection,atropine sulfate 0.6 MG in 1 ML Injection,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3090','Atropine Sulfate 0.6 MG in 1 ML Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3090','Atropine Sulfate 0.6 MG in 1 ML Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3090','atropine sulfate 0.6 MG in 1 ML Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3090','No Corresponding SCD RXCUI')"
7866,Motilium 10 MG Oral Tablet ,domperidone 10 MG Oral Tablet ,PSN-199733,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7866','Motilium 10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7866','Motilium 10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7866','domperidone 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7866','PSN-199733')"
4420,Domstal 1 MG/ML Oral Suspension,domperidone 1 MG/ML Oral Suspension ,SCD-250155,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4420','Domstal 1 MG/ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4420','Domstal 1 MG/ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4420','SCD-250155')"
7452,Motilium 1 MG/ML Oral Suspension ,domperidone 1 MG/ML Oral Suspension ,SCD-250155,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7452','Motilium 1 MG/ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7452','Motilium 1 MG/ML Oral Suspension','SBD_KE') ",,  ,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7452','SCD-250155')"
11897,Vomitel-S (Domperidone 1 MG / Simethicone 4 MG in 1 ML) Oral Suspension ,domperidone 1 MG / simethicone 4 MG in 1 ML Oral Suspension ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11897','Vomitel-S (Domperidone 1 MG / Simethicone 4 MG in 1 ML) Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11897','Vomitel-S (Domperidone 1 MG / Simethicone 4 MG in 1 ML) Oral Suspension','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11897','domperidone 1 MG / simethicone 4 MG in 1 ML Oral Suspension','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11897','No Corresponding SCD RXCUI')"
11896,Vomitel-S ( Domperidone 10 MG / Simethicone 4 MG in 1 ML) Oral Drops,domperidone 10 MG / simethicone 4 MG in 1 ML Oral Drops,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11896','Vomitel-S ( Domperidone 10 MG / Simethicone 4 MG in 1 ML) Oral Drops',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11896','Vomitel-S ( Domperidone 10 MG / Simethicone 4 MG in 1 ML) Oral Drops','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11896','domperidone 10 MG / simethicone 4 MG in 1 ML Oral Drops','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11896','No Corresponding SCD RXCUI')"
